ADJUSTMENTID,GOP,PTF,CCY,AMOUNT,AMOUNTINEUR,COMMENTS,CREATIONDATE,USER,VALDATEBEGIN,VALDATEEND,SBU,PC,NATURE,ADJUSTMENTLINKID,INSTRUMENT,FILEPATH,JEDAIID,JEDAIIDLINK,FOLDER,SOURCE,REGION,PNLCOMPONENT,CRAFTINDICATOR,DEALID,SECURITYID,CCYPAIR,EXCHANGERATE,PNLTYPE,TPR,NATUREID,TYPE,TYPO,MACROTYPO,ENDEVENT,MACRONAME,MACROLOG,INCIDENTID,DOCUMENTID,ADJUSTMENTSOURCE,RCCODE,CPMIMPACT
96600001,MOCK_GOP_ALPHA,MOCK_PTF_ATLAS,EUR,-2350000.000000,-2350000.000000,Month-end accrual true-up,2025-08-01,pnl.control,2025-07-31,2025-07-31,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,M - Manual,411200001.0,Provision,,,,MOCK_PTF_ATLAS,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600002,MOCK_GOP_GOLF,MOCK_PTF_GARNET,EUR,485200.500000,485200.500000,Fee accrual true-up,2025-08-16,pnl.control,2025-08-15,2025-08-15,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,M - Manual,411200002.0,Accrual,,,,MOCK_PTF_GARNET,MANUAL,MOCK_REGION_WEST,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,,,,1.000000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600003,MOCK_GOP_DELTA,MOCK_PTF_DUNE,EUR,-1180450.250000,-1180450.250000,Quarter-end valuation adjustment,2025-10-01,pnl.control,2025-09-30,2025-09-30,MOCK_SBU_EQUITIES,MOCK_PC_STOCKS,M - Manual,411200003.0,Provision,,,,MOCK_PTF_DUNE,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600004,MOCK_GOP_HOTEL,MOCK_PTF_HARBOR,EUR,735000.000000,735000.000000,Quarter-end dispersion true-up,2025-10-01,pnl.control,2025-09-30,2025-09-30,MOCK_SBU_EQUITIES,MOCK_PC_STOCKS,M - Manual,411200004.0,Provision,,,,MOCK_PTF_HARBOR,MANUAL,MOCK_REGION_WEST,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600005,MOCK_GOP_ECHO,MOCK_PTF_ECHO,USD,925500.000000,860715.000000,Index option valuation true-up,2025-10-15,pnl.control,2025-10-14,2025-10-14,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,M - Manual,411200005.0,Valuation,,,,MOCK_PTF_ECHO,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,MOCK_COMPONENT_CHARLIE - Mock position/deal PnL component,,,USDEUR,0.930000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600006,MOCK_GOP_FOXTROT,MOCK_PTF_FJORD,USD,-412800.750000,-383904.697500,Equity financing correction,2025-10-15,pnl.control,2025-10-14,2025-10-14,MOCK_SBU_EQUITIES,MOCK_PC_FINANCING,M - Manual,411200006.0,Correction,,,,MOCK_PTF_FJORD,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,USDEUR,0.930000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600007,MOCK_GOP_INDIA,MOCK_PTF_IVORY,JPY,368400.000000,2357.760000,MOCK_REGION_EAST hedge accrual,2025-11-29,pnl.control,2025-11-28,2025-11-28,MOCK_SBU_EQUITIES,MOCK_PC_HEDGE,M - Manual,411200007.0,Accrual,,,,MOCK_PTF_IVORY,MANUAL,MOCK_REGION_EAST,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,,,JPYEUR,0.006400,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600008,MOCK_GOP_ALPHA,MOCK_PTF_ATLAS,EUR,-6250000.000000,-6250000.000000,Year-end PnL freeze,2025-12-31,pnl.control,2025-12-30,2025-12-30,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,C - Freeze,411200008.0,Provision,,,,MOCK_PTF_ATLAS,FREEZE,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CFREEZE,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600009,MOCK_GOP_CHARLIE,MOCK_PTF_CEDAR,EUR,-1480000.000000,-1480000.000000,Year-end hedge freeze,2025-12-31,pnl.control,2025-12-30,2025-12-30,MOCK_SBU_EQUITIES,MOCK_PC_HEDGE,C - Freeze,411200009.0,Provision,,,,MOCK_PTF_CEDAR,FREEZE,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CFREEZE,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600010,MOCK_GOP_LIMA,MOCK_PTF_LUMEN,EUR,620000.000000,620000.000000,Year-end rates true-up,2025-12-31,pnl.control,2025-12-30,2025-12-30,MOCK_SBU_EQUITIES,MOCK_PC_MANAGEMENT,M - Manual,411200010.0,Provision,,,,MOCK_PTF_LUMEN,MANUAL,MOCK_REGION_NORTH,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,MOCK_COMPONENT_ALPHA - Mock position/deal PnL component,,,,1.000000,T,NON TRA PROVISION (NPR),CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
96600011,MOCK_GOP_GOLF,MOCK_PTF_GARNET,EUR,1125750.000000,1125750.000000,Year-end fee correction,2025-12-31,pnl.control,2025-12-30,2025-12-30,MOCK_SBU_EQUITIES,MOCK_PC_FLOW,M - Manual,411200011.0,Correction,,,,MOCK_PTF_GARNET,MANUAL,MOCK_REGION_WEST,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,MOCK_COMPONENT_BRAVO - Mock position/deal PnL component,,,,1.000000,T,TRADE PNL,CMANUAL,Correction,,,,,,,,GSCIN GTO-XRM-PNL,MOCK_RCCODE,False
